0.00,62.70,60.90,61.70,61.70,67.10,62.90,63.20,61.20,63.70,63.70,63.30,61.20,66.90,60.90,63.60,66.80,61.00,,
56.40,0.00,1.70,0.40,0.50,5.90,0.60,3.30,0.90,3.80,4.00,3.30,2.20,3.80,2.80,7.90,5.50,2.50,,
57.30,0.80,0.00,0.80,0.90,5.10,1.00,2.70,0.30,3.20,3.40,2.70,2.60,3.20,3.10,7.70,4.80,2.90,,
57.20,0.70,1.80,0.00,0.30,5.10,0.50,2.70,1.10,3.20,3.40,2.80,2.40,3.30,3.00,7.20,4.90,2.70,,
56.90,0.50,1.60,0.50,0.00,5.10,0.70,2.80,0.80,3.20,3.50,2.80,2.20,3.30,2.70,7.40,4.90,2.40,,
60.10,4.40,4.80,4.30,3.90,0.00,4.70,2.80,4.00,2.90,3.60,2.80,4.90,1.80,5.80,8.30,4.20,5.70,,
56.90,0.70,1.80,0.50,0.60,5.30,0.00,3.40,1.00,3.90,4.10,3.40,2.30,3.90,2.90,8.00,5.60,2.60,,
58.00,3.50,3.70,3.40,3.00,4.40,3.60,0.00,3.10,1.30,0.80,0.80,4.00,1.70,3.20,6.00,2.50,2.90,,
56.80,1.20,1.90,1.20,0.70,4.80,1.40,2.40,0.00,2.90,3.10,2.40,2.50,2.90,3.10,7.40,4.60,2.80,,
57.90,3.30,3.60,3.30,2.80,4.30,3.50,0.70,3.00,0.00,0.70,0.70,3.80,1.50,3.10,5.90,2.40,2.70,,
58.00,3.40,3.70,3.40,3.00,4.40,3.60,0.80,3.10,1.30,0.00,0.80,3.90,1.70,3.20,5.60,2.10,2.90,,
58.40,3.20,3.50,3.20,2.70,3.60,3.40,1.00,2.90,0.50,1.10,0.00,3.20,0.90,3.50,6.40,2.40,3.20,,
56.10,1.50,1.60,1.50,1.60,5.60,1.70,2.00,1.00,2.50,2.40,2.00,0.00,2.90,1.20,6.20,3.90,0.90,,
58.40,3.20,3.50,3.20,2.70,3.30,3.40,1.00,2.90,1.10,1.80,1.00,3.20,0.00,4.10,7.00,2.70,4.00,,
55.00,2.90,2.20,2.90,3.00,7.20,3.10,3.70,2.50,4.20,3.70,3.80,1.70,4.60,0.00,6.00,5.20,1.00,,
65.60,7.20,7.40,7.20,6.70,9.40,7.40,5.10,6.50,5.30,4.30,5.10,6.90,5.90,5.40,0.00,3.20,6.20,,
60.40,7.10,7.40,7.10,6.60,6.00,7.30,4.50,6.80,3.40,3.70,4.50,7.60,4.70,6.80,5.10,0.00,6.50,,
55.40,2.20,1.80,2.10,2.20,6.20,2.30,2.80,1.60,3.30,2.70,2.80,1.40,3.70,0.60,6.50,4.20,0.00,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
